Comment,Designator,Footprint,LCSC,Quantity
10uF,C12,R_1206_3216Metric,,1
10uF,C9,R_1206_3216Metric,,1
10k,R22,R_0603_1608Metric,,1
100,R16,R_0603_1608Metric,,1
Bus_M.2_Socket_B,J2,M.2_3042-xx-B,,1
220,R1,R_0603_1608Metric,,1
10uF,C4,C_0603_1608Metric,,1
ESP32-S3-WROOM-1,U7,ESP32-S3-WROOM-1U,,1
100,R4,R_0603_1608Metric,,1
100,R5,R_0603_1608Metric,,1
Conn_01x04_Pin,J3,PinSocket_1x04_P2.00mm_Vertical,,1
100,R8,R_0603_1608Metric,,1
220,R2,R_0603_1608Metric,,1
100,R3,R_0603_1608Metric,,1
100nF,C5,C_0603_1608Metric,,1
Conn_01x04_Pin,J1,PinSocket_1x04_P2.00mm_Vertical,,1
100nF,C1,C_0603_1608Metric,,1
10k,R19,R_0603_1608Metric,,1
10uF,C10,R_1206_3216Metric,,1
10k,R18,R_0603_1608Metric,,1
100nF,C7,C_0603_1608Metric,,1
100,R6,R_0603_1608Metric,,1
100,R7,R_0603_1608Metric,,1
10uF,C6,C_0603_1608Metric,,1
UMH3N,Q1,SOT-363_SC-70-6,,1
CH340C,U4,SOIC-16_3.9x9.9mm_P1.27mm,,1
CH334R,U6,QSOP-16_3.9x4.9mm_P0.635mm,,1
10k,R20,R_0603_1608Metric,,1
100,R17,R_0603_1608Metric,,1
100,R15,R_0603_1608Metric,,1
10k,R23,R_0603_1608Metric,,1
10k,R21,R_0603_1608Metric,,1
10uF,C8,R_1206_3216Metric,,1
NRF24L01_Breakout,U2,NRF24L01,,1
NRF24L01_Breakout,U3,NRF24L01,,1
10uF,C11,R_1206_3216Metric,,1
