Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,167.2,-62.0,180.0,top
C10,10uF,R_1206_3216Metric,174.9,-55.1,90.0,top
C11,10uF,R_1206_3216Metric,154.6,-67.8,270.0,bottom
C12,10uF,R_1206_3216Metric,175.2,-64.8,180.0,top
C4,10uF,C_0603_1608Metric,170.3,-62.0,180.0,top
C5,100nF,C_0603_1608Metric,152.9,-61.5,90.0,top
C6,10uF,C_0603_1608Metric,173.575,-62.0,180.0,top
C7,100nF,C_0603_1608Metric,176.6,-62.0,180.0,top
C8,10uF,R_1206_3216Metric,179.7,-55.1,90.0,top
C9,10uF,R_1206_3216Metric,177.3,-55.1,90.0,top
J1,Conn_01x04_Pin,PinSocket_1x04_P2.00mm_Vertical,180.0,-62.05,0.0,top
J2,Bus_M.2_Socket_B,M.2_3042-xx-B,166.5,-49.7,180.0,top
J3,Conn_01x04_Pin,PinSocket_1x04_P2.00mm_Vertical,179.925,-78.425,0.0,top
Q1,UMH3N,SOT-363_SC-70-6,172.4,-57.4,90.0,top
R1,220,R_0603_1608Metric,160.5,-62.6,180.0,top
R15,100,R_0603_1608Metric,176.8,-69.2,-90.0,top
R16,100,R_0603_1608Metric,175.2,-69.2,-90.0,top
R17,100,R_0603_1608Metric,178.4,-69.2,-90.0,top
R18,10k,R_0603_1608Metric,176.6,-58.5,180.0,top
R19,10k,R_0603_1608Metric,178.3,-64.5,-90.0,top
R2,220,R_0603_1608Metric,163.7,-62.0,0.0,top
R20,10k,R_0603_1608Metric,175.3,-75.2,90.0,top
R21,10k,R_0603_1608Metric,152.9,-58.5,-90.0,top
R22,10k,R_0603_1608Metric,176.6,-60.0,180.0,top
R23,10k,R_0603_1608Metric,173.6,-60.0,0.0,top
R3,100,R_0603_1608Metric,175.2,-79.9,90.0,top
R4,100,R_0603_1608Metric,173.6,-69.2,-90.0,top
R5,100,R_0603_1608Metric,176.7,-79.9,90.0,top
R6,100,R_0603_1608Metric,173.7,-75.2,-90.0,top
R7,100,R_0603_1608Metric,173.7,-79.9,-90.0,top
R8,100,R_0603_1608Metric,176.9,-75.2,-90.0,top
U2,NRF24L01_Breakout,NRF24L01,157.745,-72.1,180.0,bottom
U3,NRF24L01_Breakout,NRF24L01,175.445,-72.0625,180.0,bottom
U4,CH340C,SOIC-16_3.9x9.9mm_P1.27mm,165.625,-57.375,0.0,top
U6,CH334R,QSOP-16_3.9x4.9mm_P0.635mm,156.6,-57.4,90.0,top
U7,ESP32-S3-WROOM-1,ESP32-S3-WROOM-1U,161.89,-73.45,-90.0,top
